team_name	Roto	AVG	ERA	HR	K	QS	R	RBI	SB	SV	W	WHIP	XBH
Bitch	83	0.278	2.78	22	145	15	54	61	5	0	8	1.23	34
Griffey Jr	82.5	0.3	3.22	20	101	7	58	55	3	9	6	1.17	35
TheColossus of Clout	81	0.284	3.57	17	125	9	59	50	6	4	9	1.23	39
Loogins	78	0.287	3.77	21	96	6	67	59	4	5	3	1.21	43
I'm JT RealFuckingay	68.5	0.291	4.8	19	96	4	54	74	5	8	6	1.43	45
I love Koch	66.5	0.304	4.67	20	59	3	69	57	3	1	2	1.12	47
MrLapara	66.5	0.268	3.98	16	101	7	54	58	10	6	2	1.34	42
CORKED WOOD	58	0.251	4.4	20	115	5	51	52	0	8	6	1.32	38
#24 From Adalbertos	45.5	0.259	5.75	14	96	6	45	38	16	3	8	1.4	34
Kike... DoULuvMe?	30.5	0.233	7.24	10	44	3	47	43	6	8	3	1.44	29
