team_name	Roto	AVG	ERA	HR	K	QS	R	RBI	SB	SV	W	WHIP	XBH
CORKED WOOD	82	0.282	2.86	10	96	5	33	29	4	6	5	1.08	26
I'm JT RealFuckingay	81.5	0.245	3.31	18	45	4	43	44	3	4	5	1.22	29
TheColossus of Clout	77.5	0.327	3.94	11	53	3	44	41	4	3	4	1.33	28
I love Koch	75.5	0.286	2.68	12	39	4	30	38	5	0	5	0.97	28
MrLapara	71.5	0.26	2.32	7	76	7	29	21	6	2	6	1.09	20
Griffey Jr	63	0.287	5.88	17	44	4	37	41	0	1	3	1.67	33
Kike... DoULuvMe?	60	0.288	5.65	8	40	3	37	31	5	1	2	1.44	32
Loogins	55	0.275	4.99	10	54	3	34	30	1	5	3	1.45	24
Bitch	52	0.241	2.96	6	84	9	25	21	2	0	5	1.08	15
#24 From Adalbertos	42	0.251	5.64	12	34	1	32	31	3	4	1	1.52	19
