team_name	Roto	AVG	ERA	HR	K	QS	R	RBI	SB	SV	W	WHIP	XBH
CORKED WOOD	102.5	0.294	4.71	22	84	6	60	54	6	5	3	1.12	39
TheColossus of Clout	83	0.303	5.03	15	79	6	34	44	3	2	6	1.28	30
MrLapara	80.5	0.263	2.01	11	63	5	36	31	6	2	4	1.05	29
Loogins	75	0.285	4.86	18	64	4	42	46	2	4	2	1.52	30
I'm JT RealFuckingay	70	0.264	2.86	10	59	7	33	39	0	2	7	1.19	27
Kike... DoULuvMe?	63.5	0.307	7.99	12	46	1	41	45	2	5	2	1.58	32
Bitch	54	0.239	5.74	9	102	6	31	25	4	0	4	1.28	19
I love Koch	47.5	0.231	1.78	6	28	3	36	27	1	1	3	1.09	22
#24 From Adalbertos	43.5	0.228	4.19	5	62	4	27	29	3	1	4	1.29	15
Griffey Jr	40.5	0.248	5.9	9	52	3	33	42	1	2	1	1.43	23
