week Manager AVG ERA HR RBI Runs Saves SB Strikeouts WHIP Wins ROTO
4 Josh 0.22 3.82 5 25 38 4 2 60 1.23 5 52.5
4 Matt 0.289 4.62 9 29 33 5 4 29 1.5 2 49
4 Noah 0.361 7.64 17 51 42 7 4 51 1.68 2 68
4 Owen 0.282 3.86 10 38 35 3 2 37 1.31 3 54.5
4 Ryan 0.255 4.61 5 17 21 1 4 68 1.36 2 38
4 Wyatt 0.238 3.55 9 28 23 3 3 21 1.22 1 40.5
5 Austin 0.27 6.11 8 24 34 1 2 52 1.64 4 39
5 Dan 0.257 3.16 9 26 33 3 6 60 1.26 2 56.5
5 Edward 0.26 4.74 8 21 32 4 3 97 1.33 3 50
5 Jordan 0.25 2.44 10 25 33 0 2 54 1.27 6 54
5 Josh 0.303 4.32 9 36 43 5 8 88 1.08 3 81
5 Matt 0.254 5.74 9 30 30 6 3 33 1.77 2 42.5
5 Noah 0.293 4.26 11 40 34 4 8 35 1.26 5 74.5
5 Owen 0.212 6.06 3 18 17 4 2 22 1.47 1 21.5
5 Ryan 0.278 3.75 10 41 37 3 1 70 1.21 8 73.5
5 Wyatt 0.267 2.98 8 32 30 3 2 53 1.09 6 57.5
6 Austin 0.298 2.68 4 30 26 7 3 49 0.98 4 64
6 Dan 0.281 5.78 6 18 21 5 8 54 1.54 2 38
6 Edward 0.222 3.67 9 23 37 2 4 60 1.37 4 56
6 Jordan 0.329 5.51 11 31 30 1 4 51 1.52 4 56
6 Josh 0.289 2.43 11 38 36 4 0 66 1.06 5 79
6 Matt 0.258 3.21 2 22 27 3 6 47 1.19 3 48
6 Noah 0.285 5.37 8 19 26 6 4 63 1.36 4 55.5
6 Owen 0.245 2.27 9 19 21 5 0 40 1.29 4 45.5
6 Ryan 0.294 4.29 12 42 35 1 6 51 1.29 4 66.5
6 Wyatt 0.243 3.69 6 21 23 3 1 58 1.12 2 41.5
7 Austin 0.314 3.11 6 27 28 2 3 72 1.1 5 63
7 Dan 0.284 6.22 5 22 30 2 3 40 1.62 3 33
7 Edward 0.218 2.22 6 25 26 2 3 48 1.13 3 43
7 Jordan 0.271 5.77 12 38 32 3 8 56 1.46 2 62
7 Josh 0.294 3.14 7 28 43 6 6 66 0.98 6 79.5
7 Matt 0.253 8.23 8 19 31 4 2 20 1.61 3 35.5
7 Noah 0.242 2.86 8 30 28 7 6 72 1.28 4 64.5
7 Owen 0.303 2.81 13 38 35 4 0 52 1.25 5 74.5
7 Ryan 0.266 3.72 10 27 41 2 1 47 1.24 2 47.5
7 Wyatt 0.25 5.1 11 33 30 0 2 50 1.32 4 47.5
8 Austin 0.293 3.47 10 31 27 3 2 62 1.09 4 61.5
8 Dan 0.3 2.74 8 32 31 6 8 77 1.16 5 85
8 Edward 0.23 6.25 6 16 21 3 4 35 1.31 5 32.5
8 Jordan 0.233 5.05 6 17 27 0 4 42 1.21 2 37
8 Josh 0.207 2.99 6 16 24 7 5 88 1.11 6 62
8 Matt 0.278 5.08 9 25 26 3 2 31 1.57 2 35
8 Noah 0.294 2.54 5 22 28 4 4 64 1.23 4 62
8 Owen 0.222 2.74 11 25 23 5 5 38 1.08 4 62.5
8 Ryan 0.249 4.85 7 19 34 0 4 54 1.34 3 44
8 Wyatt 0.288 3.71 14 32 38 3 3 64 1.27 5 68.5
9 Austin 0.255 3.53 9 28 33 1 2 46 0.98 2 45
9 Dan 0.256 4.73 11 28 30 10 2 66 1.2 4 56
9 Edward 0.305 6.33 13 34 39 5 5 61 1.5 5 66
9 Jordan 0.241 2.7 4 30 24 1 4 58 1.1 6 49
9 Josh 0.269 4.26 18 39 45 4 4 72 1.22 6 78.5
9 Matt 0.29 4.95 11 32 34 4 4 31 1.33 4 49
9 Noah 0.301 7.71 14 43 42 6 5 48 1.92 1 60
9 Owen 0.335 4.32 8 35 29 4 3 44 1.11 1 50
9 Ryan 0.247 4.57 8 26 25 2 7 61 1.24 4 43
9 Wyatt 0.252 4.5 11 27 39 5 10 51 1.34 2 53.5
10 Austin 0.28 6.9 5 23 29 4 5 47 1.69 3 34
10 Dan 0.308 3.1 12 30 35 6 1 82 1.16 4 72.5
10 Edward 0.218 4.22 8 28 29 5 6 75 1.29 6 58
10 Jordan 0.309 4.5 9 41 38 4 3 41 1.07 3 62.5
10 Josh 0.223 3.45 7 22 31 2 0 89 1.36 6 44
10 Matt 0.285 5.31 10 32 27 4 0 29 1.46 2 34.5
10 Noah 0.305 4.36 10 34 40 8 5 41 1.4 3 65
10 Owen 0.301 6.33 9 34 28 3 2 57 1.37 2 39.5
10 Ryan 0.274 3.55 10 31 35 3 5 72 1.33 7 63
10 Wyatt 0.33 1.55 9 46 37 4 3 58 0.86 5 77
11 Austin 0.294 3.12 10 39 35 2 3 57 1.33 6 64.5
11 Dan 0.3 5.84 13 37 31 2 1 49 1.46 2 41.5
11 Edward 0.29 4.19 12 37 29 2 8 57 1.22 2 57.5
11 Jordan 0.303 2.05 10 34 35 5 1 54 1.12 4 67
11 Josh 0.292 4.82 12 29 35 2 5 54 1.5 4 52.5
11 Matt 0.338 4.01 10 29 41 1 4 28 1.31 2 51
11 Noah 0.295 5.06 8 39 37 4 5 61 1.33 3 63
11 Owen 0.347 5.6 9 43 42 4 3 35 1.31 4 64.5
11 Ryan 0.27 4.91 10 22 33 3 5 54 1.54 3 41
11 Wyatt 0.293 5.95 10 36 33 2 3 64 1.46 4 47.5
12 Austin 0.23 4.66 11 34 28 1 4 70 1.24 3 43.5
12 Dan 0.292 5.05 12 32 35 4 1 61 1.37 2 52
12 Edward 0.281 4.26 7 34 31 5 5 59 1.11 4 64.5
12 Jordan 0.277 3.25 9 36 29 2 1 35 1.04 5 57.5
12 Josh 0.23 3.36 13 36 37 2 5 81 1.15 4 72.5
12 Matt 0.28 5.47 7 24 28 5 1 43 1.22 3 36.5
12 Noah 0.247 2.32 10 35 32 1 4 45 0.91 3 60
12 Owen 0.269 4.29 9 33 30 4 1 34 1.12 2 41
12 Ryan 0.235 2.35 6 22 33 2 7 75 1.09 3 56.5
12 Wyatt 0.285 5.1 13 31 35 6 4 67 1.45 6 66
13 Austin 0.262 4.29 11 29 23 5 2 79 1.11 5 58.5
13 Dan 0.257 4.5 9 33 28 2 2 72 1.3 6 44.5
13 Edward 0.215 2.5 3 13 17 5 7 74 1.3 6 49.5
13 Jordan 0.296 2.68 7 37 27 1 3 45 0.93 2 51.5
13 Josh 0.259 3.77 11 35 34 6 3 62 1.13 4 65
13 Matt 0.287 5.55 9 31 30 3 7 42 1.48 1 39.5
13 Noah 0.224 3.2 9 28 27 5 1 54 1.1 6 50.5
13 Owen 0.24 4.3 9 27 31 3 2 60 1.24 5 41.5
13 Ryan 0.338 4.32 13 38 43 3 10 79 1.21 6 79.5
13 Wyatt 0.299 3.65 13 38 36 3 3 68 1.14 4 70
14 Austin 0.264 2.01 9 22 29 1 7 74 1 8 58
14 Dan 0.228 4.37 3 28 17 5 3 68 1.1 4 43
14 Edward 0.315 4.54 9 23 28 5 2 90 1.54 4 47
14 Jordan 0.312 3.44 12 35 35 6 0 45 1.11 2 56.5
14 Josh 0.323 3.06 10 36 43 4 8 62 1.43 2 62.5
14 Matt 0.363 1.4 11 41 39 5 4 32 1.09 3 71.5
14 Noah 0.335 4.97 14 35 44 6 4 56 1.33 3 67.5
14 Owen 0.284 4.02 8 30 24 1 1 74 1.37 6 42.5
14 Ryan 0.281 3.55 13 33 40 1 2 89 1.26 10 63.5
14 Wyatt 0.259 4.71 12 35 32 5 0 42 1.43 2 38
15 Austin 0.321 4.21 11 35 49 3 3 56 1.44 1 34.5
15 Dan 0.288 6.53 19 44 52 5 0 88 1.61 4 43.5
15 Edward 0.282 2.2 14 50 39 9 3 111 1.13 5 67
15 Jordan 0.303 2.11 17 65 55 6 7 49 1.03 5 74
15 Josh 0.3 5.06 7 39 53 5 11 100 1.52 3 47.5
15 Matt 0.301 3.45 12 42 42 5 5 59 1.18 3 47.5
15 Noah 0.235 4.63 13 44 44 6 10 98 1.42 7 55.5
15 Owen 0.31 3.9 20 73 59 1 6 76 1.18 7 71.5
15 Ryan 0.239 3.23 15 37 37 7 4 97 1.21 7 53.5
15 Wyatt 0.23 3.67 19 45 38 8 0 78 1.18 7 55.5
16 Austin 0.295 3.51 6 30 28 2 2 60 1.12 6 52
16 Dan 0.267 3.51 6 37 36 4 4 64 1.31 3 59
16 Edward 0.303 3.78 12 37 30 4 5 50 1.43 4 59.5
16 Jordan 0.292 2.24 18 42 39 3 0 57 1.11 5 69
16 Josh 0.25 4.45 4 20 19 4 7 75 1.4 2 39.5
16 Matt 0.298 3.57 12 31 37 3 4 56 1.04 3 63
16 Noah 0.249 5.65 8 27 32 6 3 73 1.4 5 50
16 Owen 0.228 4.35 8 28 28 5 2 47 1.21 5 44
16 Ryan 0.265 2.27 11 27 28 4 1 77 0.92 9 63
16 Wyatt 0.309 4.71 16 42 42 2 3 26 1.5 2 51
17 Austin 0.279 3.06 11 38 37 6 5 65 1.14 3 76
17 Dan 0.272 3.41 11 35 31 9 2 53 1.23 2 54.5
17 Edward 0.262 5.27 10 27 29 4 5 84 1.48 5 46
17 Jordan 0.26 2.52 9 29 28 1 3 61 1.08 4 51.5
17 Josh 0.24 2.93 6 28 23 5 7 59 1.12 3 48.5
17 Matt 0.287 4.5 8 30 32 0 9 36 1.17 2 48
17 Noah 0.264 4.53 13 29 35 6 6 45 1.31 1 49.5
17 Owen 0.277 3 14 44 33 3 3 65 1.16 7 74
17 Ryan 0.285 3.86 10 32 31 6 0 74 1.21 4 60
17 Wyatt 0.272 3.53 10 24 24 4 1 55 1.06 2 42
18 Austin 0.266 4.65 11 27 36 4 3 71 1.52 3 55.5
18 Dan 0.293 4.81 16 35 39 7 4 80 1.33 1 72.5
18 Edward 0.288 2.57 10 35 35 3 6 41 0.94 2 65
18 Jordan 0.282 3.74 7 25 27 7 3 61 1.35 5 48.5
18 Josh 0.232 5.74 10 33 35 4 7 74 1.58 5 56.5
