team_name	Roto	AVG	ERA	HR	K	QS	R	RBI	SB	SV	W	WHIP	XBH
#24 From Adalbertos	106	0.316	3.19	10	88	6	36	41	4	6	4	1.17	29
CORKED WOOD	77	0.25	4.5	11	65	5	35	39	3	5	4	1.22	26
spit.	76.5	0.226	3.33	9	71	6	36	20	4	6	6	1.32	20
I love Koch	73	0.272	4.01	13	41	4	42	42	4	1	3	1.3	33
MrLapara	69.5	0.242	3.48	7	86	6	31	23	3	2	5	1.19	20
Griffey Jr	61	0.303	3.77	9	51	5	30	37	2	1	2	1.01	25
TheColossus of Clout	55	0.279	3.81	10	59	4	29	37	2	2	4	1.36	19
ShowMeUrTatis Jr	53	0.241	3.34	8	57	4	28	33	3	2	3	1.2	23
I Suck	51.5	0.24	4.11	10	66	4	31	26	1	2	3	1.16	18
Kike... DoULuvMe?	37.5	0.208	4.41	9	59	3	29	28	2	5	2	1.24	19
