team_name	Roto	AVG	ERA	HR	K	QS	R	RBI	SB	SV	W	WHIP	XBH
MrLapara	96.5	0.26	3.17	13	84	6	47	45	4	4	5	1.08	28
spit.	96.5	0.318	3.19	18	69	7	40	46	3	3	5	1.06	39
ShowMeUrTatis Jr	85	0.293	3.84	14	63	4	42	37	4	7	4	1.19	28
#24 From Adalbertos	66.5	0.224	3.89	8	68	5	31	32	7	5	2	1.23	24
I Suck	62	0.227	4.39	9	78	5	29	30	0	2	7	1.18	21
Griffey Jr	58	0.227	3.18	10	50	5	33	24	3	1	5	1.24	21
CORKED WOOD	57	0.218	2.91	7	60	5	26	20	3	5	3	0.88	17
TheColossus of Clout	51.5	0.185	3.28	7	59	8	26	25	3	2	3	1.03	15
Kike... DoULuvMe?	49	0.27	5.27	8	45	2	38	27	2	4	3	1.36	23
I love Koch	38	0.262	2.57	7	21	1	24	23	5	0	1	1.29	14
