team_name	Roto	AVG	ERA	HR	K	QS	R	RBI	SB	SV	W	WHIP	XBH
CORKED WOOD	92	0.342	2.88	19	56	5	50	41	4	2	4	1.12	38
ShowMeUrTatis Jr	83.5	0.265	3.54	12	63	5	35	34	5	4	4	1.07	28
Kike... DoULuvMe?	80	0.318	4.31	12	60	5	40	29	4	4	3	1.27	31
MrLapara	73	0.272	4.56	10	79	8	32	39	3	3	5	1.31	25
#24 From Adalbertos	66	0.302	4.97	8	67	2	39	44	8	6	2	1.34	26
Griffey Jr	62	0.314	2.8	10	47	4	23	44	0	2	2	1.24	29
spit.	62	0.275	4.92	9	78	8	33	32	2	2	5	1.3	21
I Suck	52.5	0.197	3.17	7	70	5	23	22	2	3	4	1.09	11
TheColossus of Clout	50.5	0.248	5.29	10	58	3	33	37	3	6	2	1.31	18
I love Koch	38.5	0.318	5.4	9	27	3	32	33	2	0	1	1.27	24
