team_name	Roto	AVG	ERA	HR	K	QS	R	RBI	SB	SV	W	WHIP	XBH
CORKED WOOD	87.5	0.283	2.91	15	66	5	35	42	4	4	3	0.97	25
MrLapara	87	0.295	4.54	13	90	7	42	33	1	2	7	1.11	27
Bitch	82	0.308	4.92	17	67	5	41	54	0	0	6	1.37	30
Loogins	81	0.351	5.31	10	46	4	50	48	6	3	3	1.4	34
#24 From Adalbertos	62.5	0.262	3.7	11	65	5	30	21	4	2	6	1.18	24
I love Koch	62.5	0.308	3.7	10	26	2	35	36	3	0	2	0.95	25
I'm JT RealFuckingay	58	0.275	7.82	10	63	2	35	27	4	3	3	1.61	29
TheColossus of Clout	57	0.257	3.09	9	71	6	31	24	0	2	4	1.08	17
Griffey Jr	42	0.244	5.57	7	59	1	33	25	3	6	3	1.58	24
Kike... DoULuvMe?	40.5	0.26	5.6	9	23	2	34	25	5	4	0	1.68	23
