real_name	wins	losses	Pct
Ryan	111	84	0.5692307692307692
Wyatt	108	84	0.5625
Noah	106	89	0.5435897435897435
Josh	108	94	0.5346534653465347
Jordan	98	89	0.5240641711229946
Dan	102	96	0.5151515151515151
Edward	95	97	0.4947916666666667
Austin	91	101	0.4739583333333333
Owen	80	115	0.41025641025641024
Matt	71	121	0.3697916666666667
