team_name	Roto	AVG	ERA	HR	K	QS	R	RBI	SB	SV	W	WHIP	XBH
Bitch	90.5	0.259	2.74	13	92	9	42	34	1	0	6	0.98	26
TheColossus of Clout	85	0.333	4.11	10	65	3	39	42	5	4	3	1.25	34
#24 From Adalbertos	79	0.281	4.32	10	73	5	29	37	3	7	5	1.14	23
This League's my ATM	78.5	0.265	4.11	13	63	4	33	39	4	3	3	1.09	23
MrLapara	75	0.279	3.08	8	57	6	33	26	6	2	6	1.01	20
Matt Boyd	70.5	0.232	2.85	15	57	4	34	32	1	5	3	1.31	26
Griffey Jr	60	0.262	4.36	12	62	3	33	35	0	2	3	1.19	26
SomethingsWongWithMe	47.5	0.215	3.31	4	47	3	29	25	7	5	3	1.29	18
I love Koch	38	0.23	4.33	10	22	2	28	25	4	1	3	1.11	18
Kike... DoULuvMe?	36	0.255	7.82	9	10	0	38	26	4	1	1	1.5	22
