team_name	Roto	AVG	ERA	HR	K	QS	R	RBI	SB	SV	W	WHIP	XBH
I Suck	93.5	0.335	3.57	22	122	6	78	65	3	6	8	1.11	51
TheColossus of Clout	87	0.279	2.7	13	86	7	68	47	8	4	6	1.04	35
CORKED WOOD	79.5	0.273	3.84	27	102	2	57	68	5	12	4	1.13	41
MrLapara	79.5	0.311	3.36	9	134	12	61	46	8	8	6	1.27	30
ShowMeUrTatis Jr	72.5	0.267	4.55	24	115	8	54	67	5	5	5	1.35	45
#24 From Adalbertos	55.5	0.242	2.93	8	86	7	44	35	8	11	2	1.1	28
Kike... DoULuvMe?	52.5	0.293	4.01	9	75	5	46	35	14	2	6	1.19	24
Griffey Jr	48.5	0.217	3.35	13	74	6	45	42	1	2	6	1.19	32
I love Koch	46.5	0.249	4.76	16	71	4	51	46	12	0	3	1.31	34
spit.	45	0.257	4.11	10	46	2	48	43	1	9	4	1.17	32
