team_name	Roto	AVG	ERA	HR	K	QS	R	RBI	SB	SV	W	WHIP	XBH
Bitch	83.5	0.28	4.56	14	75	8	39	38	1	0	6	1.17	29
Loogins	81.5	0.33	4.48	16	53	4	53	37	3	2	3	1.28	34
TheColossus of Clout	70.5	0.242	3.08	9	63	6	32	35	1	5	6	1.09	20
CORKED WOOD	70	0.241	4.88	18	63	2	37	39	6	6	3	1.61	29
Griffey Jr	64.5	0.274	3.62	8	88	6	27	27	0	2	7	1.22	25
MrLapara	62	0.256	3.53	8	67	5	28	34	3	1	5	1.18	22
I'm JT RealFuckingay	59.5	0.249	1.61	12	46	4	29	23	0	2	3	0.92	28
Kike... DoULuvMe?	58.5	0.311	7.08	12	18	0	33	35	5	1	3	1.38	31
I love Koch	57.5	0.273	1.37	11	16	2	39	31	7	0	1	1.02	17
#24 From Adalbertos	52.5	0.273	4.29	11	54	3	29	33	2	1	4	1.31	21
