team_name	Roto	AVG	ERA	HR	K	QS	R	RBI	SB	SV	W	WHIP	XBH
I Suck	95.5	0.333	2.09	19	62	5	42	41	1	3	7	0.98	31
Kike... DoULuvMe?	76.5	0.294	3.78	13	73	4	34	46	1	3	1	1.09	27
MrLapara	75.5	0.256	2.97	12	66	7	36	41	5	1	4	1.26	23
CORKED WOOD	73.5	0.281	3.03	7	71	7	28	24	3	4	6	0.96	21
#24 From Adalbertos	71.5	0.262	4.1	10	76	4	29	33	10	5	3	1.15	20
TheColossus of Clout	63.5	0.265	6.75	10	66	1	39	34	5	3	3	1.53	28
ShowMeUrTatis Jr	63	0.257	3.61	10	62	4	37	18	9	4	5	1.31	19
spit.	58.5	0.24	1.48	9	56	6	29	31	2	1	5	0.92	19
Griffey Jr	42.5	0.25	4.75	13	47	3	28	30	0	3	2	1.25	22
I love Koch	40	0.279	6.43	9	23	1	35	33	1	0	1	1.32	26
