team_name	Roto	AVG	ERA	HR	K	QS	R	RBI	SB	SV	W	WHIP	XBH
I'm JT RealFuckingay	88.5	0.31	3.71	13	67	6	43	44	3	3	2	1.11	26
Bitch	85	0.3	4.76	15	63	5	37	46	4	4	5	1.35	36
Griffey Jr	79.5	0.29	3.91	12	70	7	41	33	1	2	4	1.22	26
Loogins	79	0.299	4.66	13	66	5	42	39	5	2	3	1.26	28
MrLapara	71.5	0.228	1.33	9	60	5	38	30	7	3	3	1.01	26
CORKED WOOD	70	0.255	2.96	10	47	3	35	40	4	6	2	0.99	30
TheColossus of Clout	58.5	0.253	5.59	11	69	4	41	21	5	3	4	1.42	23
#24 From Adalbertos	52.5	0.274	3.97	6	51	5	27	18	3	6	4	1.25	14
Kike... DoULuvMe?	42.5	0.258	4.72	8	50	4	31	29	6	2	1	1.28	20
I love Koch	33	0.252	6.08	10	21	1	31	32	7	0	1	1.39	19
