team_name	Roto	AVG	ERA	HR	K	QS	R	RBI	SB	SV	W	WHIP	XBH
I Suck	89.5	0.28	2.34	9	67	5	38	41	9	1	7	0.99	26
I love Koch	75.5	0.284	3.23	12	50	3	37	43	1	0	6	1.19	26
CORKED WOOD	74	0.267	4.02	10	79	9	39	26	3	1	4	1.2	24
ShowMeUrTatis Jr	70.5	0.248	3.41	9	73	7	36	23	10	1	7	1.09	20
#24 From Adalbertos	65	0.258	4.37	7	86	6	33	32	1	6	3	1.17	23
Griffey Jr	62.5	0.283	6.66	14	60	2	38	39	0	4	2	1.77	31
TheColossus of Clout	62	0.289	5.35	9	72	3	24	39	1	2	4	1.29	27
Kike... DoULuvMe?	60.5	0.248	3.31	13	42	2	36	34	6	5	2	1.22	22
MrLapara	53	0.248	3.58	5	69	5	33	26	5	3	2	1.04	17
spit.	47.5	0.237	2.7	9	45	1	33	32	1	5	5	1.29	15
