team_name	Roto	AVG	ERA	HR	K	QS	R	RBI	SB	SV	W	WHIP	XBH
TheColossus of Clout	103.5	0.263	3.72	14	96	9	37	43	6	5	5	1.07	27
#24 From Adalbertos	87	0.278	3.15	14	65	5	32	36	11	6	4	1.33	24
ShowMeUrTatis Jr	86	0.308	4.08	15	62	4	39	43	6	2	4	1.13	25
I Suck	77.5	0.292	4.93	14	65	4	39	33	3	4	4	1.42	28
Griffey Jr	67	0.286	4.35	9	58	4	42	30	3	3	3	1.1	25
CORKED WOOD	59.5	0.254	2.98	8	62	5	32	27	1	2	5	1.14	19
I love Koch	56.5	0.242	4.97	9	72	5	23	32	4	0	4	1.38	24
MrLapara	53	0.251	3.75	8	64	5	30	30	3	1	3	1.14	24
Kike... DoULuvMe?	42.5	0.304	5.87	8	43	2	26	31	3	3	2	1.43	25
spit.	27.5	0.228	6.79	4	51	2	31	19	1	4	3	1.4	18
