team_name	Roto	AVG	ERA	HR	K	QS	R	RBI	SB	SV	W	WHIP	XBH
spit.	83.5	0.288	3.19	12	70	7	34	37	5	4	4	1.19	22
MrLapara	81.5	0.237	1.54	12	67	8	34	33	4	3	7	0.99	22
ShowMeUrTatis Jr	78.5	0.249	2.39	10	73	6	38	36	5	0	8	0.92	21
I love Koch	71.5	0.317	3.74	12	45	4	47	45	5	0	2	1.09	27
#24 From Adalbertos	70.5	0.27	3.99	13	87	6	28	36	3	5	3	1.28	24
Griffey Jr	65	0.278	5.43	18	63	5	42	44	0	2	2	1.41	30
TheColossus of Clout	62.5	0.221	2.06	5	81	9	29	19	3	5	5	1.03	17
I Suck	59	0.285	3.64	6	97	4	28	25	5	2	4	1.1	18
Kike... DoULuvMe?	54	0.248	1.73	10	54	4	28	32	2	2	3	0.96	22
CORKED WOOD	34	0.224	6.54	9	59	3	32	27	3	2	3	1.61	18
