team_name	Roto	AVG	ERA	HR	K	QS	R	RBI	SB	SV	W	WHIP	XBH
Loogins	80.5	0.302	3.04	14	67	6	45	40	4	1	6	1.2	27
TheColossus of Clout	77.5	0.297	4.03	12	65	6	51	53	2	3	2	1.03	32
I'm JT RealFuckingay	75.5	0.275	4.04	17	64	4	47	32	8	5	5	1.31	29
CORKED WOOD	74	0.298	4.08	16	49	3	43	35	5	4	4	1.26	36
Kike... DoULuvMe?	73	0.34	5.28	14	18	1	49	42	7	2	1	0.98	33
#24 From Adalbertos	67	0.263	2.94	13	81	6	35	28	4	2	7	1.21	19
MrLapara	63.5	0.323	7.74	16	45	2	42	43	5	2	1	1.81	34
Griffey Jr	61.5	0.278	3.47	14	76	5	37	39	2	0	5	1.24	22
Bitch	57	0.216	3.99	11	99	9	34	30	4	0	5	1.27	29
I love Koch	30.5	0.274	4.35	8	12	1	28	26	2	1	2	1.02	17
