team_name	Roto	AVG	ERA	HR	K	QS	R	RBI	SB	SV	W	WHIP	XBH
I Suck	103.5	0.291	2.2	15	105	8	35	34	5	6	6	1	28
ShowMeUrTatis Jr	87	0.322	3.69	14	70	4	41	41	7	4	3	1.2	25
spit.	87	0.259	3.16	11	80	6	40	32	3	7	6	1.11	25
MrLapara	76.5	0.237	4.41	13	84	4	41	32	5	4	5	1.33	27
CORKED WOOD	66.5	0.309	4.7	12	69	2	39	34	11	3	1	1.23	25
#24 From Adalbertos	61.5	0.226	3.14	10	60	6	24	28	3	6	6	1.17	20
I love Koch	58.5	0.252	6.8	15	42	4	40	39	2	0	2	1.47	32
TheColossus of Clout	45.5	0.237	3.22	5	66	5	25	28	2	1	3	1.17	18
Griffey Jr	37	0.237	5.43	11	50	3	31	26	1	2	5	1.57	23
Kike... DoULuvMe?	37	0.229	4.96	9	41	1	26	34	3	3	3	1.5	20
