team_name	Roto	AVG	ERA	HR	K	QS	R	RBI	SB	SV	W	WHIP	XBH
I'm JT RealFuckingay	90	0.348	4.66	22	64	2	54	56	3	4	6	1.49	43
TheColossus of Clout	86.5	0.294	3	20	71	3	51	51	1	5	2	1.04	37
Bitch	85	0.296	3.2	18	83	7	50	40	3	0	9	1.14	38
#24 From Adalbertos	69	0.247	4.09	20	49	4	36	50	2	4	3	1.24	30
CORKED WOOD	66.5	0.322	5.96	12	76	4	41	43	5	4	2	1.54	29
MrLapara	63.5	0.354	3.12	11	34	5	30	38	5	1	4	1.31	24
Griffey Jr	57.5	0.331	5.61	17	50	5	39	45	0	1	1	1.68	34
Loogins	55.5	0.268	5.93	17	35	2	48	46	0	5	2	1.55	34
I love Koch	53.5	0.3	3.77	11	31	3	31	33	8	0	4	1.26	25
Kike... DoULuvMe?	33	0.304	6.14	10	18	1	29	43	4	3	0	1.64	25
