team_name	Roto	AVG	ERA	HR	K	QS	R	RBI	SB	SV	W	WHIP	XBH
Loogins	95	0.352	4.38	19	65	6	56	46	3	3	3	1.25	39
Griffey Jr	83	0.339	4.74	18	38	4	60	47	1	2	6	1.3	37
CORKED WOOD	80.5	0.291	5.2	15	78	4	44	44	3	7	3	1.28	34
I'm JT RealFuckingay	80	0.305	4.79	14	75	6	49	32	4	3	3	1.44	34
Kike... DoULuvMe?	72	0.327	3.95	12	50	2	46	45	4	3	2	1.32	31
MrLapara	64	0.268	5.65	10	66	5	38	44	5	2	4	1.31	22
#24 From Adalbertos	57	0.252	3.54	7	48	3	35	27	4	4	2	1.08	24
Bitch	54	0.284	4.35	12	41	6	39	26	3	1	4	1.47	22
TheColossus of Clout	45.5	0.285	6.53	10	69	3	42	30	4	0	1	1.47	28
I love Koch	29	0.246	6.33	8	17	1	30	37	5	0	2	1.5	18
