Name	week	Player_ID	HR	R	RBI	SB	BA	GP
Dustin Geiger	0	956	NaN	NaN	NaN	NaN	0.219	0
Ramon Torres	2.167	957	0.462	2.308	2.308	0.462	0.259	13
Andrew Burns	0	958	NaN	NaN	NaN	NaN	0.236	0
Travis Taijeron	0	959	NaN	NaN	NaN	NaN	0.201	0
Michael Perez	0	960	NaN	NaN	NaN	NaN	0.23	0
A.J. Pierzynski	0	961	NaN	NaN	NaN	NaN	0.247	0
Daniel Spingola	0	962	NaN	NaN	NaN	NaN	0.236	0
Dustin Garneau	0.5	963	0	2	2	0	0.217	3
Wynton Bernard	0	964	NaN	NaN	NaN	NaN	0.243	0
Nick Tanielu	0	965	NaN	NaN	NaN	NaN	0.251	0
Cade Gotta	0	966	NaN	NaN	NaN	NaN	0.242	0
Chris Johnson	0	967	NaN	NaN	NaN	NaN	0.24	0
Gabriel Quintana	0	968	NaN	NaN	NaN	NaN	0.233	0
Tyler Holt	0	969	NaN	NaN	NaN	NaN	0.233	0
Drew Ward	0	970	NaN	NaN	NaN	NaN	0.225	0
Irving Falu	0	971	NaN	NaN	NaN	NaN	0.252	0
Derek Miller	0	972	NaN	NaN	NaN	NaN	0.227	0
Socrates Brito	2.667	973	0.375	2.25	2.625	0.375	0.246	16
Grayson Greiner	1.333	974	0.75	2.25	2.25	0	0.229	8
Corey Jones	0	975	NaN	NaN	NaN	NaN	0.247	0
Josh Naylor	0	976	NaN	NaN	NaN	NaN	0.239	0
Anderson Miller	0	977	NaN	NaN	NaN	NaN	0.238	0
Zander Wiel	0	978	NaN	NaN	NaN	NaN	0.223	0
Cody Jones	0	979	NaN	NaN	NaN	NaN	0.233	0
Yasiel Balaguert	0	980	NaN	NaN	NaN	NaN	0.234	0
Casey Grayson	0	981	NaN	NaN	NaN	NaN	0.228	0
Hank Conger	0	982	NaN	NaN	NaN	NaN	0.212	0
Reynaldo Rodriguez	0	983	NaN	NaN	NaN	NaN	0.219	0
Zachary Coppola	0	984	NaN	NaN	NaN	NaN	0.245	0
Anthony Bemboom	0	985	NaN	NaN	NaN	NaN	0.232	0
Jacob Wilson	0	986	NaN	NaN	NaN	NaN	0.223	0
Brandon Dixon	2	987	0.5	2.5	2.5	0.5	0.225	12
Telvin Nash	0	988	NaN	NaN	NaN	NaN	0.198	0
Mike Ohlman	0	989	NaN	NaN	NaN	NaN	0.217	0
Tyrone Taylor	0	990	NaN	NaN	NaN	NaN	0.234	0
Nick Basto	0	991	NaN	NaN	NaN	NaN	0.23	0
Roberto Lopez	0	992	NaN	NaN	NaN	NaN	0.234	0
Jimmy Rollins	0	993	NaN	NaN	NaN	NaN	0.228	0
David Ross	0	994	NaN	NaN	NaN	NaN	0.21	0
Brian Burgamy	0	995	NaN	NaN	NaN	NaN	0.216	0
Wyatt Mathisen	0	996	NaN	NaN	NaN	NaN	0.239	0
Corey Toups	0	997	NaN	NaN	NaN	NaN	0.23	0
Zach Osborne	0	998	NaN	NaN	NaN	NaN	0.258	0
Ronald Bueno	0	999	NaN	NaN	NaN	NaN	0.232	0
Cole Tucker	0	1000	NaN	NaN	NaN	NaN	0.241	0
Bryan Holaday	0	1001	NaN	NaN	NaN	NaN	0.236	0
JaCoby Jones	5.833	1002	0.514	2.4	2.4	0.514	0.227	35
Wade Hinkle	0	1003	NaN	NaN	NaN	NaN	0.222	0
Raffy Lopez	1.333	1004	0.75	2.25	2.25	0	0.22	8
Anthony Gose	0	1005	NaN	NaN	NaN	NaN	0.221	0
Elmer Reyes	0	1006	NaN	NaN	NaN	NaN	0.252	0
Christian Colon	0	1007	NaN	NaN	NaN	NaN	0.245	0
Tyler Horan	0	1008	NaN	NaN	NaN	NaN	0.218	0
Chantz Mack	0	1009	NaN	NaN	NaN	NaN	0.22	0
Danny Mendick	0	1010	NaN	NaN	NaN	NaN	0.237	0
Evan Marzilli	0	1011	NaN	NaN	NaN	NaN	0.223	0
Danny Ortiz	0	1012	NaN	NaN	NaN	NaN	0.228	0
Jimmy Paredes	0	1013	NaN	NaN	NaN	NaN	0.235	0
Sam Hilliard	0	1014	NaN	NaN	NaN	NaN	0.236	0
Carlos Franco	0	1015	NaN	NaN	NaN	NaN	0.222	0
Tommy Edman	0	1016	NaN	NaN	NaN	NaN	0.244	0
Adrian Sanchez	1.333	1017	0	2.25	2.25	0.75	0.254	8
Andrew Calica	0	1018	NaN	NaN	NaN	NaN	0.238	0
J.C. Linares	0	1019	NaN	NaN	NaN	NaN	0.22	0
Erik Gonzalez	3.167	1020	0.632	2.526	2.526	0.632	0.243	19
Alec Keller	0	1021	NaN	NaN	NaN	NaN	0.253	0
Phil Gosselin	0	1022	NaN	NaN	NaN	NaN	0.25	0
Luis Villegas	0	1023	NaN	NaN	NaN	NaN	0.236	0
Stewart Ijames	0	1024	NaN	NaN	NaN	NaN	0.213	0
Jhalan Jackson	0	1025	NaN	NaN	NaN	NaN	0.215	0
Nick Schulz	0	1026	NaN	NaN	NaN	NaN	0.216	0
Lourdes Gurriel	0.5	1027	0	2	2	0	0.241	3
Allen Staton	0	1028	NaN	NaN	NaN	NaN	0.241	0
Johnny Field	0	1029	NaN	NaN	NaN	NaN	0.231	0
Leonardo Reginatto	0	1030	NaN	NaN	NaN	NaN	0.255	0
Luis Sardinas	0	1031	NaN	NaN	NaN	NaN	0.257	0
Jason Hagerty	0	1032	NaN	NaN	NaN	NaN	0.221	0
Leo Heras	0	1033	NaN	NaN	NaN	NaN	0.222	0
Tyler Henson	0	1034	NaN	NaN	NaN	NaN	0.239	0
Tyler Marincov	0	1035	NaN	NaN	NaN	NaN	0.226	0
Kevin Cornelius	0	1036	NaN	NaN	NaN	NaN	0.219	0
Jose Rondon	0.5	1037	0	2	2	0	0.25	3
Zach Houchins	0	1038	NaN	NaN	NaN	NaN	0.234	0
Oscar Hernandez	0	1039	NaN	NaN	NaN	NaN	0.224	0
Garrett Stubbs	0	1040	NaN	NaN	NaN	NaN	0.227	0
Jared Hoying	0	1041	NaN	NaN	NaN	NaN	0.225	0
Dante Bichette	0	1042	NaN	NaN	NaN	NaN	0.224	0
Dustin DeMuth	0	1043	NaN	NaN	NaN	NaN	0.231	0
Emilio Bonifacio	0	1044	NaN	NaN	NaN	NaN	0.251	0
Chris Gittens	0	1045	NaN	NaN	NaN	NaN	0.206	0
Jorge Mateo	0.333	1046	0	3	3	0	0.235	2
Conor Bierfeldt	0	1047	NaN	NaN	NaN	NaN	0.213	0
Taylor Featherston	0	1048	NaN	NaN	NaN	NaN	0.225	0
Allen Craig	0	1049	NaN	NaN	NaN	NaN	0.222	0
Tony Sanchez	0	1050	NaN	NaN	NaN	NaN	0.215	0
Jake Elmore	0	1051	NaN	NaN	NaN	NaN	0.23	0
Zack Cox	0	1052	NaN	NaN	NaN	NaN	0.237	0
Joseph Monge	0	1053	NaN	NaN	NaN	NaN	0.241	0
Jose Guadalupe Chavez	0	1054	NaN	NaN	NaN	NaN	0.227	0
Johnny Monell	0	1055	NaN	NaN	NaN	NaN	0.228	0
Brian O'Grady	0	1056	NaN	NaN	NaN	NaN	0.201	0
Darnell Sweeney	0	1057	NaN	NaN	NaN	NaN	0.223	0
Vladimir Frias	0	1058	NaN	NaN	NaN	NaN	0.247	0
Ryan Casteel	0	1059	NaN	NaN	NaN	NaN	0.23	0
Emilio Guerrero	0	1060	NaN	NaN	NaN	NaN	0.233	0
Sean Godfrey	0	1061	NaN	NaN	NaN	NaN	0.242	0
Nick Van Stratten	0	1062	NaN	NaN	NaN	NaN	0.248	0
Meibrys Viloria	0.333	1063	0	3	3	0	0.237	2
Yairo Munoz	0.333	1064	0	3	3	0	0.245	2
Gabriel Guerrero	0	1065	NaN	NaN	NaN	NaN	0.24	0
Drew Stankiewicz	0	1066	NaN	NaN	NaN	NaN	0.23	0
Tyler Marlette	0	1067	NaN	NaN	NaN	NaN	0.227	0
Zach Collier	0	1068	NaN	NaN	NaN	NaN	0.227	0
Garrett Weber	0	1069	NaN	NaN	NaN	NaN	0.24	0
Tanner English	0	1070	NaN	NaN	NaN	NaN	0.214	0
Chesny Young	0	1071	NaN	NaN	NaN	NaN	0.249	0
Cody Regis	0	1072	NaN	NaN	NaN	NaN	0.238	0
Kevin Kaczmarski	0	1073	NaN	NaN	NaN	NaN	0.232	0
Jake Peter	0	1074	NaN	NaN	NaN	NaN	0.238	0
Alcides Escobar	19.667	1075	0.254	2.288	2.085	0.458	0.256	118
D'Arby Myers	0	1076	NaN	NaN	NaN	NaN	0.239	0
Alexei Ramirez	0	1077	NaN	NaN	NaN	NaN	0.245	0
Tyler Ogle	0	1078	NaN	NaN	NaN	NaN	0.216	0
Blake Allemand	0	1079	NaN	NaN	NaN	NaN	0.241	0
Phillip Evans	0	1080	NaN	NaN	NaN	NaN	0.238	0
Danny Espinosa	0	1081	NaN	NaN	NaN	NaN	0.205	0
Alberto Callaspo	4	1082	0.25	2.25	2.25	0.25	0.232	24
Adam Weisenburger	0	1083	NaN	NaN	NaN	NaN	0.22	0
Jason Bourgeois	0	1084	NaN	NaN	NaN	NaN	0.246	0
Ryan LaMarre	0	1085	NaN	NaN	NaN	NaN	0.228	0
Grant Green	0	1086	NaN	NaN	NaN	NaN	0.25	0
Dayron Varona	0	1087	NaN	NaN	NaN	NaN	0.229	0
Ross Kivett	0	1088	NaN	NaN	NaN	NaN	0.227	0
Magneuris Sierra	11.5	1089	0.174	1.913	2	0.87	0.254	69
Connor Panas	0	1090	NaN	NaN	NaN	NaN	0.216	0
Jeff Francoeur	0	1091	NaN	NaN	NaN	NaN	0.232	0
Mike Marjama	5	1092	0.6	2.4	2.4	0.2	0.231	30
Chris Jacobs	0	1093	NaN	NaN	NaN	NaN	0.217	0
Gerson Montilla	0	1094	NaN	NaN	NaN	NaN	0.233	0
Michael Bourn	0	1095	NaN	NaN	NaN	NaN	0.232	0
Daniel Johnson	0	1096	NaN	NaN	NaN	NaN	0.237	0
Andrew Romine	4.833	1097	0.207	2.276	2.069	0.621	0.239	29
Fernando Tatis Jr.	0	1098	NaN	NaN	NaN	NaN	0.223	0
Kade Scivicque	0	1099	NaN	NaN	NaN	NaN	0.242	0
Elier Hernandez	0	1100	NaN	NaN	NaN	NaN	0.242	0
Braxton Lee	6.333	1101	0.158	2.053	1.895	0.632	0.247	38
Alex Perez	0	1102	NaN	NaN	NaN	NaN	0.239	0
Jacob Stallings	2.5	1103	0.4	2	2.4	0.4	0.238	15
Erik Kratz	0	1104	NaN	NaN	NaN	NaN	0.215	0
Reid Brignac	0	1105	NaN	NaN	NaN	NaN	0.225	0
C.J Hinojosa	0	1106	NaN	NaN	NaN	NaN	0.243	0
Jhoan Urena	0	1107	NaN	NaN	NaN	NaN	0.22	0
Jacob Schrader	0	1108	NaN	NaN	NaN	NaN	0.22	0
Caleb Adams	0	1109	NaN	NaN	NaN	NaN	0.228	0
Jack Reinheimer	0.333	1110	0	3	3	0	0.242	2
Bruce Caldwell	0	1111	NaN	NaN	NaN	NaN	0.217	0
Mike Aviles	0	1112	NaN	NaN	NaN	NaN	0.245	0
Noah Perio	0	1113	NaN	NaN	NaN	NaN	0.249	0
Eliezer Alvarez	1.667	1114	0.6	2.4	2.4	0.6	0.231	10
Mike Miller	0	1115	NaN	NaN	NaN	NaN	0.243	0
Alex Monsalve	0	1116	NaN	NaN	NaN	NaN	0.239	0
Kristopher Negron	0	1117	NaN	NaN	NaN	NaN	0.228	0
T.J. Bennett	0	1118	NaN	NaN	NaN	NaN	0.231	0
David Freitas	0.5	1119	0	2	2	0	0.228	3
Chace Numata	0	1120	NaN	NaN	NaN	NaN	0.237	0
Anthony Phillips	0	1121	NaN	NaN	NaN	NaN	0.242	0
Blake Drake	0	1122	NaN	NaN	NaN	NaN	0.23	0
Tim Lopes	0	1123	NaN	NaN	NaN	NaN	0.239	0
Viosergy Rosa	0	1124	NaN	NaN	NaN	NaN	0.215	0
Ryan Metzler	0	1125	NaN	NaN	NaN	NaN	0.242	0
Jordan Schafer	0	1126	NaN	NaN	NaN	NaN	0.226	0
David Thompson	0	1127	NaN	NaN	NaN	NaN	0.228	0
Shawn Zarraga	0	1128	NaN	NaN	NaN	NaN	0.234	0
Ka'ai Tom	0	1129	NaN	NaN	NaN	NaN	0.227	0
Casey Frawley	0	1130	NaN	NaN	NaN	NaN	0.239	0
Craig Gentry	0	1131	NaN	NaN	NaN	NaN	0.231	0
Casey McElroy	0	1132	NaN	NaN	NaN	NaN	0.234	0
Yu-Cheng Chang	0	1133	NaN	NaN	NaN	NaN	0.209	0
Tyler Smith	0.333	1134	0	3	3	0	0.236	2
Ricky Alvarez	0	1135	NaN	NaN	NaN	NaN	0.237	0
Forrest Wall	0	1136	NaN	NaN	NaN	NaN	0.243	0
Luigi Rodriguez	0	1137	NaN	NaN	NaN	NaN	0.229	0
Keury De La Cruz	0	1138	NaN	NaN	NaN	NaN	0.233	0
Tyler Bortnick	0	1139	NaN	NaN	NaN	NaN	0.238	0
Alex Valdez	0	1140	NaN	NaN	NaN	NaN	0.216	0
Ben Guez	0	1141	NaN	NaN	NaN	NaN	0.204	0
Reed Gragnani	0	1142	NaN	NaN	NaN	NaN	0.23	0
Michael O'Neill	0	1143	NaN	NaN	NaN	NaN	0.228	0
Logan Schafer	0	1144	NaN	NaN	NaN	NaN	0.227	0
Jabari Henry	0	1145	NaN	NaN	NaN	NaN	0.202	0
Joey Wendle	10.333	1146	0.387	2.419	2.226	0.387	0.24	62
Jacob Nottingham	0.5	1147	0	2	2	0	0.218	3
Stephen Gaylor	0	1148	NaN	NaN	NaN	NaN	0.238	0
Cliff Pennington	6.333	1149	0.316	2.053	2.053	0.316	0.224	38
Elvis Escobar	0	1150	NaN	NaN	NaN	NaN	0.245	0
Anthony Gallas	0	1151	NaN	NaN	NaN	NaN	0.218	0
Josh Thole	0	1152	NaN	NaN	NaN	NaN	0.223	0
Alberth Martinez	0	1153	NaN	NaN	NaN	NaN	0.231	0
Luis Tejada	0	1154	NaN	NaN	NaN	NaN	0.228	0
Dexture McCall	0	1155	NaN	NaN	NaN	NaN	0.221	0
Chris Garia	0	1156	NaN	NaN	NaN	NaN	0.232	0
Duanel Jones	0	1157	NaN	NaN	NaN	NaN	0.228	0
J.P. Sportman	0	1158	NaN	NaN	NaN	NaN	0.242	0
Dylan Moore	0	1159	NaN	NaN	NaN	NaN	0.223	0
Jose Siri	1.333	1160	0.75	2.25	2.25	0.75	0.231	8
Chad Tromp	0	1161	NaN	NaN	NaN	NaN	0.232	0
Dorssys Paulino	0	1162	NaN	NaN	NaN	NaN	0.227	0
Jose Rojas	0	1163	NaN	NaN	NaN	NaN	0.245	0
Jesus Fabela	0	1164	NaN	NaN	NaN	NaN	0.229	0
Jack Mayfield	0	1165	NaN	NaN	NaN	NaN	0.227	0
Tomas Nido	1.333	1166	0.75	2.25	2.25	0	0.235	8
Chad Wallach	2.5	1167	0.4	2	2.4	0	0.216	15
Jake Romanski	0	1168	NaN	NaN	NaN	NaN	0.251	0
Alexi Amarista	4	1169	0.5	2.25	2.25	0.5	0.239	24
Eddy Alvarez	0	1170	NaN	NaN	NaN	NaN	0.224	0
Jordan Weems	0	1171	NaN	NaN	NaN	NaN	0.224	0
Kevin Krause	0	1172	NaN	NaN	NaN	NaN	0.224	0
Nick Torres	0	1173	NaN	NaN	NaN	NaN	0.239	0
Marcus Littlewood	0	1174	NaN	NaN	NaN	NaN	0.224	0
Trey Michalczewski	0	1175	NaN	NaN	NaN	NaN	0.215	0
Angelo Gumbs	0	1176	NaN	NaN	NaN	NaN	0.237	0
Hunter Jones	0	1177	NaN	NaN	NaN	NaN	0.228	0
Olmo Rosario	0	1178	NaN	NaN	NaN	NaN	0.247	0
Rene Garcia	0	1179	NaN	NaN	NaN	NaN	0.252	0
Kyle Barrett	0	1180	NaN	NaN	NaN	NaN	0.246	0
James Ramsay	0	1181	NaN	NaN	NaN	NaN	0.225	0
Tyler Heineman	0	1182	NaN	NaN	NaN	NaN	0.23	0
Jesus Arredondo	0	1183	NaN	NaN	NaN	NaN	0.236	0
Jeremy Lucas	0	1184	NaN	NaN	NaN	NaN	0.215	0
Ademar Rifaela	0	1185	NaN	NaN	NaN	NaN	0.223	0
Devin Harris	0	1186	NaN	NaN	NaN	NaN	0.214	0
Levi Michael	0	1187	NaN	NaN	NaN	NaN	0.231	0
Gregorio Petit	0	1188	NaN	NaN	NaN	NaN	0.247	0
Devyn Bolasky	0	1189	NaN	NaN	NaN	NaN	0.232	0
Micah Johnson	0	1190	NaN	NaN	NaN	NaN	0.234	0
Yhoxian Medina	0	1191	NaN	NaN	NaN	NaN	0.243	0
Joe Bennie	0	1192	NaN	NaN	NaN	NaN	0.229	0
Chris Dominguez	0	1193	NaN	NaN	NaN	NaN	0.231	0
Alfredo Gonzalez	0.333	1194	0	3	3	0	0.227	2
Alex Mejia	0	1195	NaN	NaN	NaN	NaN	0.245	0
James Beresford	0	1196	NaN	NaN	NaN	NaN	0.25	0
Yonathan Mendoza	0	1197	NaN	NaN	NaN	NaN	0.243	0
Wade Wass	0	1198	NaN	NaN	NaN	NaN	0.207	0
Adam Brett Walker	0	1199	NaN	NaN	NaN	NaN	0.201	0
Granden Goetzman	0	1200	NaN	NaN	NaN	NaN	0.232	0
Mitch Walding	0	1201	NaN	NaN	NaN	NaN	0.201	0
Keith Curcio	0	1202	NaN	NaN	NaN	NaN	0.237	0
Zane Chavez	0	1203	NaN	NaN	NaN	NaN	0.228	0
Michael Ahmed	0	1204	NaN	NaN	NaN	NaN	0.216	0
Stephen Bruno	0	1205	NaN	NaN	NaN	NaN	0.235	0
Alejandro Garcia	0	1206	NaN	NaN	NaN	NaN	0.244	0
A.J. Simcox	0	1207	NaN	NaN	NaN	NaN	0.245	0
Cal Towey	0	1208	NaN	NaN	NaN	NaN	0.206	0
Sherman Johnson	0	1209	NaN	NaN	NaN	NaN	0.212	0
Matt Duffy	0	1210	NaN	NaN	NaN	NaN	0.22	0
Tyler Krieger	0	1211	NaN	NaN	NaN	NaN	0.231	0
Stuart Turner	1.333	1212	0.75	2.25	2.25	0	0.219	8
Mason Williams	0	1213	NaN	NaN	NaN	NaN	0.239	0
Mitch Longo	0	1214	NaN	NaN	NaN	NaN	0.24	0
Eudy Pina	0	1215	NaN	NaN	NaN	NaN	0.234	0
Beau Taylor	0	1216	NaN	NaN	NaN	NaN	0.218	0
Andrew Daniel	0	1217	NaN	NaN	NaN	NaN	0.23	0
Rosell Herrera	0	1218	NaN	NaN	NaN	NaN	0.232	0
Jordan Tarsovich	0	1219	NaN	NaN	NaN	NaN	0.222	0
Mike Freeman	0	1220	NaN	NaN	NaN	NaN	0.237	0
Nolan Fontana	2.5	1221	0.4	2.4	2	0.4	0.206	15
Bryan Muniz	0	1222	NaN	NaN	NaN	NaN	0.228	0
Chan Jong Moon	0	1223	NaN	NaN	NaN	NaN	0.234	0
Kevin Keyes	0	1224	NaN	NaN	NaN	NaN	0.209	0
Danny Oh	0	1225	NaN	NaN	NaN	NaN	0.235	0
Gordon Beckham	0	1226	NaN	NaN	NaN	NaN	0.224	0
Andrew Aplin	0	1227	NaN	NaN	NaN	NaN	0.212	0
Steve Wilkerson	0	1228	NaN	NaN	NaN	NaN	0.239	0
Josh Rutledge	0	1229	NaN	NaN	NaN	NaN	0.227	0
Shannon Wilkerson	0	1230	NaN	NaN	NaN	NaN	0.237	0
Alfredo Escalera	0	1231	NaN	NaN	NaN	NaN	0.242	0
Jose Aguilar	0	1232	NaN	NaN	NaN	NaN	0.23	0
Jeff McNeil	0	1233	NaN	NaN	NaN	NaN	0.239	0
Josh VanMeter	0	1234	NaN	NaN	NaN	NaN	0.231	0
Jose Trevino	0.333	1235	0	3	3	0	0.242	2
Bryan Reynolds	0	1236	NaN	NaN	NaN	NaN	0.24	0
Danny Diekroeger	0	1237	NaN	NaN	NaN	NaN	0.234	0
Jacob Scavuzzo	0	1238	NaN	NaN	NaN	NaN	0.222	0
Mauricio Ramos	0	1239	NaN	NaN	NaN	NaN	0.238	0
Dylan Davis	0	1240	NaN	NaN	NaN	NaN	0.216	0
Matt Oberste	0	1241	NaN	NaN	NaN	NaN	0.229	0
C.J. McElroy	0	1242	NaN	NaN	NaN	NaN	0.23	0
Richard Urena	0.5	1243	0	2	2	0	0.24	3
Allan de San Miguel	0	1244	NaN	NaN	NaN	NaN	0.226	0
Carlos Garcia	0	1245	NaN	NaN	NaN	NaN	0.236	0
Courtney Hawkins	0	1246	NaN	NaN	NaN	NaN	0.21	0
Sergio Alcantara	1.833	1247	0	2.182	2.182	0.545	0.24	11
Juan Graterol	1.333	1248	0	2.25	2.25	0	0.248	8
Daniel Paolini	0	1249	NaN	NaN	NaN	NaN	0.214	0
Quincy Latimore	0	1250	NaN	NaN	NaN	NaN	0.216	0
Chris Mariscal	0	1251	NaN	NaN	NaN	NaN	0.232	0
Asael Sanchez	0	1252	NaN	NaN	NaN	NaN	0.228	0
Brian Hernandez	0	1253	NaN	NaN	NaN	NaN	0.237	0
Eric Jagielo	0	1254	NaN	NaN	NaN	NaN	0.205	0
Jose Ruiz	0	1255	NaN	NaN	NaN	NaN	0.225	0
Andy Paz	0	1256	NaN	NaN	NaN	NaN	0.232	0
Jin-De Jhang	0	1257	NaN	NaN	NaN	NaN	0.241	0
Kyle Petty	0	1258	NaN	NaN	NaN	NaN	0.224	0
Calten Daal	0	1259	NaN	NaN	NaN	NaN	0.245	0
Mylz Jones	0	1260	NaN	NaN	NaN	NaN	0.249	0
Adam Rosales	3.167	1261	0.632	2.211	2.526	0.316	0.209	19
James Roberts	0	1262	NaN	NaN	NaN	NaN	0.237	0
Edmundo Sosa	0.5	1263	0	2	2	0	0.247	3
Mario Lisson	0	1264	NaN	NaN	NaN	NaN	0.208	0
Angelys Nina	0	1265	NaN	NaN	NaN	NaN	0.242	0
Todd Glaesmann	0	1266	NaN	NaN	NaN	NaN	0.223	0
Matt Williams	0	1267	NaN	NaN	NaN	NaN	0.225	0
Kenny Wilson	0	1268	NaN	NaN	NaN	NaN	0.228	0
Grant Kay	0	1269	NaN	NaN	NaN	NaN	0.227	0
John Andreoli	0	1270	NaN	NaN	NaN	NaN	0.202	0
Cody Decker	0	1271	NaN	NaN	NaN	NaN	0.199	0
Jeff Mathis	8.833	1272	0.453	2.038	2.264	0.113	0.221	53
Matt Juengel	0	1273	NaN	NaN	NaN	NaN	0.225	0
Joey Curletta	0	1274	NaN	NaN	NaN	NaN	0.211	0
Zach Green	0	1275	NaN	NaN	NaN	NaN	0.211	0
Jordan Betts	0	1276	NaN	NaN	NaN	NaN	0.22	0
Mark Mathias	0	1277	NaN	NaN	NaN	NaN	0.225	0
Kean Wong	0	1278	NaN	NaN	NaN	NaN	0.24	0
Patrick Mazeika	0	1279	NaN	NaN	NaN	NaN	0.221	0
Brenden Webb	0	1280	NaN	NaN	NaN	NaN	0.211	0
Marc Wik	0	1281	NaN	NaN	NaN	NaN	0.223	0
Juan Silverio	0	1282	NaN	NaN	NaN	NaN	0.222	0
Cristhian Adames	0	1283	NaN	NaN	NaN	NaN	0.228	0
Kyle Jensen	0	1284	NaN	NaN	NaN	NaN	0.206	0
Patrick Wisdom	0	1285	NaN	NaN	NaN	NaN	0.208	0
Collin Cowgill	0	1286	NaN	NaN	NaN	NaN	0.214	0
Joe Odom	0	1287	NaN	NaN	NaN	NaN	0.22	0
Chad Oberacker	0	1288	NaN	NaN	NaN	NaN	0.223	0
Luis Guillorme	0.833	1289	0	2.4	1.2	0	0.237	5
Stetson Allie	0	1290	NaN	NaN	NaN	NaN	0.198	0
Stephen McGee	0	1291	NaN	NaN	NaN	NaN	0.202	0
Chase d'Arnaud	0	1292	NaN	NaN	NaN	NaN	0.233	0
Carlos Alonso	0	1293	NaN	NaN	NaN	NaN	0.219	0
Cesar Tapia	0	1294	NaN	NaN	NaN	NaN	0.23	0
Tyler Nevin	0	1295	NaN	NaN	NaN	NaN	0.233	0
Luis La O	0	1296	NaN	NaN	NaN	NaN	0.251	0
Ramon Cabrera	3.833	1297	0.261	1.826	2.087	0.261	0.234	23
Jorge Saez	0	1298	NaN	NaN	NaN	NaN	0.202	0
Kyle Martin	0	1299	NaN	NaN	NaN	NaN	0.2	0
Ryan Walker	0	1300	NaN	NaN	NaN	NaN	0.235	0
Gioskar Amaya	0	1301	NaN	NaN	NaN	NaN	0.221	0
Isaac Ballou	0	1302	NaN	NaN	NaN	NaN	0.218	0
Nellie Rodriguez	0	1303	NaN	NaN	NaN	NaN	0.187	0
Aramis Garcia	0	1304	NaN	NaN	NaN	NaN	0.222	0
Ryan Hanigan	0	1305	NaN	NaN	NaN	NaN	0.212	0
Zach Vincej	1.667	1306	0	2.4	1.8	0.6	0.236	10
Brian Jeroloman	0	1307	NaN	NaN	NaN	NaN	0.206	0
Dian Toscano	0	1308	NaN	NaN	NaN	NaN	0.217	0
Michael Martinez	0	1309	NaN	NaN	NaN	NaN	0.24	0
Donovan Solano	0	1310	NaN	NaN	NaN	NaN	0.245	0
Drew Maggi	0	1311	NaN	NaN	NaN	NaN	0.228	0
Jason Leblebijian	0	1312	NaN	NaN	NaN	NaN	0.221	0
Logan Moon	0	1313	NaN	NaN	NaN	NaN	0.234	0
Gianfranco Wawoe	0	1314	NaN	NaN	NaN	NaN	0.243	0
Roberto Caro	0	1315	NaN	NaN	NaN	NaN	0.218	0
Jose Amador	0	1316	NaN	NaN	NaN	NaN	0.216	0
Josh Morgan	0	1317	NaN	NaN	NaN	NaN	0.239	0
Matt den Dekker	0	1318	NaN	NaN	NaN	NaN	0.205	0
Jared Mitchell	0	1319	NaN	NaN	NaN	NaN	0.201	0
Ryan Wright	0	1320	NaN	NaN	NaN	NaN	0.237	0
Alex Glenn	0	1321	NaN	NaN	NaN	NaN	0.217	0
Michael Snyder	0	1322	NaN	NaN	NaN	NaN	0.214	0
Hutton Moyer	0	1323	NaN	NaN	NaN	NaN	0.227	0
Darin Mastroianni	0	1324	NaN	NaN	NaN	NaN	0.23	0
Deivi Grullon	0	1325	NaN	NaN	NaN	NaN	0.22	0
Yanio Perez	0	1326	NaN	NaN	NaN	NaN	0.227	0
Jacob Hannemann	0	1327	NaN	NaN	NaN	NaN	0.221	0
Michael Burgess	0	1328	NaN	NaN	NaN	NaN	0.211	0
Harold Castro	0	1329	NaN	NaN	NaN	NaN	0.253	0
Errol Robinson	0	1330	NaN	NaN	NaN	NaN	0.229	0
Mitchell Tolman	0	1331	NaN	NaN	NaN	NaN	0.225	0
Argenis Raga	0	1332	NaN	NaN	NaN	NaN	0.225	0
Ryan Leonards	0	1333	NaN	NaN	NaN	NaN	0.229	0
Oscar Mercado	0.5	1334	0	2	2	2	0.232	3
Nelson Ward	0	1335	NaN	NaN	NaN	NaN	0.224	0
Michael Russell	0	1336	NaN	NaN	NaN	NaN	0.228	0
Audry Perez	0	1337	NaN	NaN	NaN	NaN	0.238	0
Adam Engel	20.833	1338	0.432	2.208	2.016	0.912	0.209	125
Juan Soto	0	1339	NaN	NaN	NaN	NaN	0.232	0
Brandon Trinkwon	0	1340	NaN	NaN	NaN	NaN	0.225	0
David Fletcher	0	1341	NaN	NaN	NaN	NaN	0.247	0
Auston Bousfield	0	1342	NaN	NaN	NaN	NaN	0.216	0
Angel Villalona	0	1343	NaN	NaN	NaN	NaN	0.207	0
Cameron Seitzer	0	1344	NaN	NaN	NaN	NaN	0.215	0
Agustin Murillo	0	1345	NaN	NaN	NaN	NaN	0.226	0
Connor Joe	0	1346	NaN	NaN	NaN	NaN	0.219	0
Arismendy Alcantara	0	1347	NaN	NaN	NaN	NaN	0.218	0
Bo Way	0	1348	NaN	NaN	NaN	NaN	0.239	0
Eduardo Arredondo	0	1349	NaN	NaN	NaN	NaN	0.239	0
