Name	week	Player_ID	HR	R	RBI	SB	BA	GP
Andrew Lambo	0	584	NaN	NaN	NaN	NaN	0.235	0
Cam Perkins	0.333	585	0	3	3	0	0.25	2
Dom Nunez	0	586	NaN	NaN	NaN	NaN	0.23	0
Nick Solak	0.333	587	0	3	3	0	0.248	2
Rey Fuentes	0	588	NaN	NaN	NaN	NaN	0.261	0
Jonathan Rodriguez	0	589	NaN	NaN	NaN	NaN	0.233	0
Cameron Rupp	9.667	590	0.828	2.379	2.793	0.103	0.222	58
Juan Uribe	0	591	NaN	NaN	NaN	NaN	0.248	0
Sean Rodriguez	10.333	592	0.774	2.419	2.71	0.194	0.225	62
Frank Schwindel	0	593	NaN	NaN	NaN	NaN	0.259	0
Danny Mars	0	594	NaN	NaN	NaN	NaN	0.266	0
Coco Crisp	0	595	NaN	NaN	NaN	NaN	0.228	0
Drew Ferguson	0	596	NaN	NaN	NaN	NaN	0.237	0
Cedric Hunter	0	597	NaN	NaN	NaN	NaN	0.247	0
Breyvic Valera	1	598	0	2	2	1	0.27	6
Gorkys Hernandez	3.833	599	0.261	2.348	2.087	0.783	0.255	23
Dawel Lugo	7.5	600	0.533	2.4	2.533	0.133	0.263	45
Elias Diaz	6.333	601	0.316	2.053	2.368	0.158	0.264	38
Steve Selsky	0	602	NaN	NaN	NaN	NaN	0.24	0
Jose Lobaton	3.833	603	0.522	2.087	2.348	0.261	0.232	23
Yolmer Sanchez	19.167	604	0.522	2.4	2.452	0.47	0.248	115
Colin Walsh	0	605	NaN	NaN	NaN	NaN	0.216	0
Tyler Collins	0	606	NaN	NaN	NaN	NaN	0.233	0
Tzu-Wei Lin	0.333	607	0	3	3	0	0.253	2
Hector Olivera	0	608	NaN	NaN	NaN	NaN	0.247	0
Jerry Sands	0	609	NaN	NaN	NaN	NaN	0.23	0
Daniel Palka	0.5	610	2	2	4	0	0.224	3
Justin Ruggiano	0	611	NaN	NaN	NaN	NaN	0.231	0
Mallex Smith	13	612	0.308	2.538	2.077	1.538	0.25	78
Jason Martin	0	613	NaN	NaN	NaN	NaN	0.239	0
Matthew Clark	0	614	NaN	NaN	NaN	NaN	0.227	0
Henry Ramos	0	615	NaN	NaN	NaN	NaN	0.25	0
Tyler Ramirez	0	616	NaN	NaN	NaN	NaN	0.241	0
Clint Robinson	0	617	NaN	NaN	NaN	NaN	0.229	0
Corey Brown	0	618	NaN	NaN	NaN	NaN	0.224	0
Nick Ramirez	0	619	NaN	NaN	NaN	NaN	0.218	0
Wynston Sawyer	0	620	NaN	NaN	NaN	NaN	0.238	0
Ronnie Mitchell	0	621	NaN	NaN	NaN	NaN	0.241	0
T.J. White	0	622	NaN	NaN	NaN	NaN	0.243	0
Brady Shoemaker	0	623	NaN	NaN	NaN	NaN	0.234	0
Ramiro Pena	0	624	NaN	NaN	NaN	NaN	0.261	0
Chris Bostick	0.5	625	0	2	2	0	0.253	3
Rickie Weeks Jr.	0	626	NaN	NaN	NaN	NaN	0.22	0
Cam Gallagher	1.333	627	0.75	2.25	2.25	0	0.25	8
Conrad Gregor	0	628	NaN	NaN	NaN	NaN	0.233	0
Kyle Higashioka	1.333	629	0.75	2.25	3	0	0.23	8
Tyler Moore	0	630	NaN	NaN	NaN	NaN	0.23	0
Barrett Barnes	0	631	NaN	NaN	NaN	NaN	0.24	0
John Nogowski	0	632	NaN	NaN	NaN	NaN	0.252	0
David Wright	0.5	633	0	4	2	0	0.222	3
John Norwood	0	634	NaN	NaN	NaN	NaN	0.239	0
Jon Kemmer	0	635	NaN	NaN	NaN	NaN	0.223	0
